_latitude,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,location,location_address,location_city,location_state,location_zip,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,state_code,suppression_used,total_amount_reimbursed,units_reimbursed,utilization_type
34.9513,-92.3809,1/1,2017-01-01T00:00:00.000,59011,POINT (-92.3809 34.9513),,,,,11885.86,59011075004,0,47,04,2017,0750,BUTRANS,1,AR,false,11885.86,187,FFSU
45.7326,-93.9196,1/1,2017-01-01T00:00:00.000,54123,POINT (-93.9196 45.7326),,,,,,54123011430,,,30,2017,0114,ZUBSOLV,1,MN,true,,,MCOU
43.4108,-71.5653,1/1,2017-01-01T00:00:00.000,59385,POINT (-71.5653 43.4108),,,,,5296.14,59385001430,0,35,30,2017,0014,BUNAVAIL,1,NH,false,5296.14,681,MCOU
45.7326,-93.9196,1/1,2017-01-01T00:00:00.000,54123,POINT (-93.9196 45.7326),,,,,,54123011430,,,30,2017,0114,ZUBSOLV,1,MN,true,,,FFSU
32.9866,-83.6487,1/1,2017-01-01T00:00:00.000,13107,POINT (-83.6487 32.9866),,,,,3841.48,13107008901,0,197,01,2017,0089,Methadone,1,GA,false,3841.48,19561,FFSU
39.0724,-76.7902,1/1,2017-01-01T00:00:00.000,67877,POINT (-76.7902 39.0724),,,,,14407.61,67877011601,469.68,1426,01,2017,0116,METHADONE,1,MD,false,14877.29,132309,MCOU
44.2563,-89.6385,1/1,2017-01-01T00:00:00.000,67877,POINT (-89.6385 44.2563),,,,,,67877011601,,,01,2017,0116,Methadone,1,WI,true,,,MCOU
45.7326,-93.9196,1/1,2017-01-01T00:00:00.000,00406,POINT (-93.9196 45.7326),,,,,764.09,00406575501,42.72,36,01,2017,5755,METHADONE,1,MN,false,806.81,3110,FFSU
38.4199,-117.1219,1/1,2017-01-01T00:00:00.000,13107,POINT (-117.1219 38.4199),,,,,,13107008801,,,01,2017,0088,Methadone,1,NV,true,,,FFSU
31.1801,-91.8749,1/1,2017-01-01T00:00:00.000,66689,POINT (-91.8749 31.1801),,,,,,66689071116,,,16,2017,0711,METHADONE,1,LA,true,,,MCOU
40.5773,-77.264,1/1,2017-01-01T00:00:00.000,00406,POINT (-77.264 40.5773),,,,,,00406575562,,,62,2017,5755,METHADONE,1,PA,true,,,MCOU
46.9048,-110.3261,1/1,2017-01-01T00:00:00.000,00904,POINT (-110.3261 46.9048),,,,,,00904653061,,,61,2017,6530,METHADONE,1,MT,true,,,FFSU
